Year,Semester,Course ID,Section,Name,Course Name,Response Rate %,Hrs Per Week,Overall course rate
2020,Spring,48510,E,"FRANKOWSKI, NATHALIE",ASOS IV,25,27,5
2020,Spring,48510,G,"HAYES, HAL",ASOS IV,50,27,5
2020,Spring,48510,B,"TORELLO, FRANCESCA",ASOS IV,42,15.33,4.67
2020,Spring,48510,B,"BARD, JOSHUA",ASOS IV,42,15.33,4.67
2020,Spring,48510,H,"KLINE, JONATHAN",ASOS IV,33,27,5
2020,Spring,48510,F,"GRUBER, STEFAN",ASOS IV,33,25.5,5
2020,Spring,48510,E,"GARCIA, CRUZ",ASOS IV,25,27,5
2020,Spring,48519,A,"ARSCOTT, MARY-LOU",ARC STUDIO: TH II/IP,60,25.5,3.33
2020,Spring,48519,A,"RAFSON, SARAH",ARC STUDIO: TH II/IP,60,25.5,4
2020,Spring,48530,A,"ZEGLIN, GARTH",HUMAN-MACH VIRT,60,10,4.17
2020,Spring,48530,A,"BARD, JOSHUA",HUMAN-MACH VIRT,60,10,4.17
2020,Spring,48538,A,"BIZON, HEATHER",AESTHETICS & MULTI M,37,7,4.67
2020,Spring,48545,A,"PERTIERRA, JOSE",DES FAB,75,13,3.67
2020,Spring,48555,A,"BIDGOLI, Ardavan",INTRO ARC ROBO,45,7.4,4.8
2020,Spring,48559,A,"CORBETT, THOMAS",REAL CMP,33,8,4
2020,Spring,48559,A,"BARD, JOSHUA",REAL CMP,33,11,5
2020,Spring,48569,A,"KURLAND, KRISTEN",GIS CAFM,100,8,4.33
2020,Spring,48587,A,"LIMAURO, CYNTHIA",ARCH LIGHTING DESIGN,28,8,5
2020,Spring,48637,A,"OPPENHEIM, IRVING",STRUC/STAT GRAD,50,9.5,4.5
2020,Spring,48637,A,"BEN-ALON, Lola",STRUC/STAT GRAD,50,5,4.5
2020,Spring,48640,A,"HUBER, MATTHEW",MARCHSTUDIO INTEG II,63,21.14,4.43
2020,Spring,48640,A,"DAVIS, JEFFREY",MARCHSTUDIO INTEG II,63,21.14,4.57
2020,Spring,48644,A,"GUTSCHOW, KAI",MARCH PRE-THESIS,37,4,5
2020,Spring,48658,A3,"VAVASIS, VALENTINA",REDD MARCH,83,7.4,5
2020,Spring,48660,D,"GRUBER, STEFAN",ASOS II MARCH,80,17.33,4.75
2020,Spring,48660,B,"BIZON, HEATHER",ASOS II MARCH,50,22.67,4
2020,Spring,48677,A3,"VAVASIS, VALENTINA",HINES COMPET,50,15.9,4.6
2020,Spring,48684,A4,"VAVASIS, VALENTINA",REDD II,72,9.88,4.88
2020,Spring,48692,A,"SAWYER, AZADEH",SHAPING DAYLIGHT,80,6.88,4.75
2020,Spring,48706,A,"REHMAN, NIDA",URBAN STUDIO II,100,22,4.75
2020,Spring,48708,A,"KLINE, JONATHAN",MUD STUDIO IV,71,20.2,4.8
2020,Spring,48711,A,"LEE, JOSHUA",PARADGMS RESCH ARCH,69,12.78,4.22
2020,Spring,48712,A,"GRUBER, STEFAN",MUD GRAD SEM II: GLO,90,5.3,4.6
2020,Spring,48713,A,"MONDOR, CHRISTINE",MUD URB EC,71,7.7,4.67
2020,Spring,48715,A,"BYRNE, DARAGH",MSCD PRE-THESIS 1,70,8.43,4.43
2020,Spring,48720,A,"GASTIL, RAY",PLNNG DES,50,6.5,5
2020,Spring,48721,A,"KARAGUZEL, OMER",BLDG CONTRL DIAGNSTC,100,11,5
2020,Spring,48722,A,"KARAGUZEL, OMER",BLDNG PERFMNC MODLNG,73,9.91,4.91
2020,Spring,48723,A,"ABDUL-AZIZ, AZIZAN",PERF ADV BLDNG SYSTM,85,6,4.33
2020,Spring,48737,A,"DAMIANI, GERARD",DETAILING GRAD,100,11,5
2020,Spring,48741,A,"BIAGIOLI, ALEXANDER",REAL ESTATE SEM,75,7.17,5
2020,Spring,48752,A,"BAIRD, NINA",ZERO ENERGY HOUSING,57,8.75,4.75
2020,Spring,48756,A,"WINSTON, GERROD",PROJ PLNNG RPRTG,80,9.5,3
2020,Spring,48759,A,"BATES, WILLIAM",VALUE BASED DSG IND,90,6.33,3.56
2020,Spring,48773,A,"AZEL, NICOLAS",EMRGNG MEDIA URBNSM,92,7.77,4.38
2020,Spring,48781,A,"KURLAND, KRISTEN",SPTL ANLY INFRTC PLN,100,11.22,4.89
2020,Spring,48785,A,"BIZON, HEATHER",MAAD RES PROJ,100,17,5
2020,Spring,48792,V,"LOFTNESS, VIVIAN",PHD INDEP STUDY,100,20,4.75
2020,Spring,48792,C,"CARDOSO LLACH, DANIEL",PHD INDEP STUDY,25,11,5
2020,Spring,48792,E,"COCHRAN, ERICA",PHD INDEP STUDY,100,19,5
2020,Spring,48793,A,"LOFTNESS, VIVIAN",PHD THESIS,16,27,
2020,Spring,48795,A3,"BAIRD, NINA",LEED BLDGS GREEN DES,50,9.29,4.86
2020,Spring,48795,A4,"BAIRD, NINA",LEED BLDGS GREEN DES,75,10,5
2020,Spring,60106,A,"VERSARI, MARIA ELENA",CRITICAL THEORY II,61,6.64,4.55
2020,Spring,60106,B,"VERSARI, MARIA ELENA",CRITICAL THEORY II,25,3.5,4.5
2020,Spring,60110,A,"PIPKIN, EVEREST",EMS MOVING IMAGE,52,7.7,4.4
2020,Spring,60110,B,"SILVER, SUZIE",EMS MOVING IMAGE,35,7,3.67
2020,Spring,60110,C,"ANDREW, SCOTT",EMS MOVING IMAGE,50,8.6,3.6
2020,Spring,60125,A,"MAHLER, MOSHE",INTRO TO 3D ANIMATN,86,11.19,4.62
2020,Spring,60133,A3,"GURYSH, STEVEN",3D MEDIA STUDIO II,54,10,4.83
2020,Spring,60133,C3,"MANNINO, JOSEPH",3D MEDIA STUDIO II,33,6.5,5
2020,Spring,60133,B3,"BINGHAM, ROBERT",3D MEDIA STUDIO II,33,8,5
2020,Spring,60133,D3,"CHURCH, SIDNEY",3D MEDIA STUDIO II,33,9,5
2020,Spring,60134,C4,"MANNINO, JOSEPH",3D MEDIA STUDIO II,50,8,5
2020,Spring,60134,B4,"BINGHAM, ROBERT",3D MEDIA STUDIO II,11,2,4
2020,Spring,60134,A4,"GURYSH, STEVEN",3D MEDIA STUDIO II,42,7,5
2020,Spring,60134,D4,"CHURCH, SIDNEY",3D MEDIA STUDIO II,45,5.6,4
2020,Spring,60141,B,"SPRADLIN, IVETTE",B & W PHOTOGRAPHY I,100,8,4.5
2020,Spring,60141,A,"CARROLL, SEAN",B & W PHOTOGRAPHY I,50,6.5,4.5
2020,Spring,60141,C,"YOUNG, NINA",B & W PHOTOGRAPHY I,60,8,4.67
2020,Spring,60142,A,"MANTLE, T. ROSS",DIGITAL PHOTOGRPHY I,25,8,4
2020,Spring,60157,A,"WESTBROOK, NATALIE",DRAWING NON-MAJORS,78,8.27,4.36
2020,Spring,60160,C,"JOHNSON, ANDREW",2D MDA STD: IMAGING,42,9,5
2020,Spring,60160,A,"MERRELL, CLAYTON",2D MDA STD: IMAGING,36,8,4.75
2020,Spring,60160,B,"HUBBARD, KATIE",2D MDA STD: IMAGING,40,7.25,4.75
2020,Spring,60206,A,"RAGONA, MELISSA",CRITICAL THEORY IV,80,7.63,4.75
2020,Spring,60206,B,"KIM, JONGWOO",CRITICAL THEORY IV,42,7.73,3.91
2020,Spring,60223,A,"ZACHARIAS, ROBERT",PHYSICAL COMPUTING,41,9.8,4.7
2020,Spring,60235,A,"HSU, LEO",PHOTOGRAPH AMERICA,50,8,5
2020,Spring,60241,A,"GRUZSKA, JAMIE",BL & WHT PHOTOGHY II,75,10,5
2020,Spring,60280,B,"PELL, RICHARD",INTRO CONTEXT PRACT,54,8,3.5
2020,Spring,60280,C,"CARSON, JOHN",INTRO CONTEXT PRACT,33,9.8,4
2020,Spring,60280,A,"WORMSLEY, ALISHA",INTRO CONTEXT PRACT,57,10.25,3.75
2020,Spring,60350,A,"HUGHES, THOMAS",BUSINESS-CREATIVE PR,42,4.25,5
2020,Spring,60364,A,"KIM, JONGWOO",CS: DECOLONIZE NOW!,25,11.25,4
2020,Spring,60397,A,"KEATING-MILLER, JENNIFER","ART, CONFLICT & TECH",44,11.75,5
2020,Spring,60397,A,"NOURBAKHSH, ILLAH","ART, CONFLICT & TECH",44,10.25,4.5
2020,Spring,60397,A,"CARSON, JOHN","ART, CONFLICT & TECH",44,11.75,4.5
2020,Spring,60402,A,"BROOKS TAKAHASHI, GINGER",SENIOR STUDIO,23,12.11,4.11
2020,Spring,60402,A,"SLAVICK, SUSANNE",SENIOR STUDIO,23,12.44,4
2020,Spring,60402,A,"KUMATA, CAROL",SENIOR STUDIO,23,10.78,4
2020,Spring,60405,A,"WASHKO, ANGELA",ADV ETB: SPECIAL TOP,62,12.8,4.8
2020,Spring,60407,A,"JOHNSEN, MICHAEL",EXPERIMNT SND SYNTH,12,5,5
2020,Spring,60414,A,"DUESING, JAMES",ADV ETB ANM ART/TECH,25,19.67,4.33
